"Ville";"Departement";"Region";"ID_Lieu"
Aix-en-Provence;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;1
Azur;Landes;Nouvelle-Aquitaine;2
Bezons;Val-d'Oise;Île-de-France;3
Bordeaux;Gironde;Nouvelle-Aquitaine;4
Boulogne-Billancourt;Hauts-de-Seine;Île-de-France;5
Bron;Rhône;Auvergne-Rhône-Alpes;6
Cestas;Gironde;Nouvelle-Aquitaine;7
Clichy;Hauts-de-Seine;Île-de-France;8
Colombes;Hauts-de-Seine;Île-de-France;9
Courbevoie;Hauts-de-Seine;Île-de-France;10
Dargoire;Maine-et-Loire;Pays de la Loire;11
Enghien-les-Bains;Val-d'Oise;Île-de-France;12
Fontenay-sous-Bois;Val-de-Marne;Île-de-France;13
Gradignan;Gironde;Nouvelle-Aquitaine;14
Issy-les-Moulineaux;Hauts-de-Seine;Île-de-France;15
La Ciotat;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;16
Le Mans;Sarthe;Pays de la Loire;17
Le Plessis-Belleville;Oise;Hauts-de-France;18
Levallois-Perret;Hauts-de-Seine;Île-de-France;19
Lille;Nord;Hauts-de-France;20
Limonest;Rhône;Auvergne-Rhône-Alpes;21
Lyon;Rhône;Auvergne-Rhône-Alpes;22
Malakoff;Hauts-de-Seine;Île-de-France;23
Marseille;Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;24
Massy;Essonne;Île-de-France;25
Montpellier;Hérault;Occitanie;26
Montrouge;Hauts-de-Seine;Île-de-France;27
Mérignac;Gironde;Nouvelle-Aquitaine;28
Nantes;Loire-Atlantique;Pays de la Loire;29
Neuilly-sur-Seine;Hauts-de-Seine;Île-de-France;30
Neuville-en-Ferrain;Nord;Hauts-de-France;31
Nice;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;32
Niort;Deux-Sèvres;Nouvelle-Aquitaine;33
Paris;Paris;Île-de-France;34
Puteaux;Hauts-de-Seine;Île-de-France;35
Rennes;Ille-et-Vilaine;Bretagne;36
Roubaix;Nord;Hauts-de-France;37
Saint-Genis-Laval;Rhône;Auvergne-Rhône-Alpes;38
Saint-Herblain;Loire-Atlantique;Pays de la Loire;39
Saint-Maurice-sur-Dargoire;Haute-Vienne;Nouvelle-Aquitaine;40
Saint-Ouen;Seine-Saint-Denis;Île-de-France;41
Saint-Priest;Rhône;Auvergne-Rhône-Alpes;42
Sainte-Julie;Ain;Auvergne-Rhône-Alpes;43
Sophia Antipolis;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;44
Strasbourg;Bas-Rhin;Grand Est;45
Talence;Gironde;Nouvelle-Aquitaine;46
Toulouse;Haute-Garonne;Occitanie;47
Vernon;Eure;Normandie;48
Villeurbanne;Rhône;Auvergne-Rhône-Alpes;49
Viroflay;Yvelines;Île-de-France;50
Vélizy-Villacoublay;Yvelines;Île-de-France;51
Écully;Rhône;Auvergne-Rhône-Alpes;52
Évry;Essonne;Île-de-France;53
