Date;Jour;Jour_lb;Mois;Mois_lb;Annee
01/01/2000;1;samedi;1;janvier;2000
02/01/2000;2;dimanche;1;janvier;2000
03/01/2000;3;lundi;1;janvier;2000
04/01/2000;4;mardi;1;janvier;2000
05/01/2000;5;mercredi;1;janvier;2000
06/01/2000;6;jeudi;1;janvier;2000
07/01/2000;7;vendredi;1;janvier;2000
08/01/2000;8;samedi;1;janvier;2000
09/01/2000;9;dimanche;1;janvier;2000
10/01/2000;10;lundi;1;janvier;2000
11/01/2000;11;mardi;1;janvier;2000
12/01/2000;12;mercredi;1;janvier;2000
13/01/2000;13;jeudi;1;janvier;2000
14/01/2000;14;vendredi;1;janvier;2000
15/01/2000;15;samedi;1;janvier;2000
16/01/2000;16;dimanche;1;janvier;2000
17/01/2000;17;lundi;1;janvier;2000
18/01/2000;18;mardi;1;janvier;2000
19/01/2000;19;mercredi;1;janvier;2000
20/01/2000;20;jeudi;1;janvier;2000
21/01/2000;21;vendredi;1;janvier;2000
22/01/2000;22;samedi;1;janvier;2000
23/01/2000;23;dimanche;1;janvier;2000
24/01/2000;24;lundi;1;janvier;2000
25/01/2000;25;mardi;1;janvier;2000
26/01/2000;26;mercredi;1;janvier;2000
27/01/2000;27;jeudi;1;janvier;2000
28/01/2000;28;vendredi;1;janvier;2000
29/01/2000;29;samedi;1;janvier;2000
30/01/2000;30;dimanche;1;janvier;2000
31/01/2000;31;lundi;1;janvier;2000
01/02/2000;1;mardi;2;février;2000
02/02/2000;2;mercredi;2;février;2000
03/02/2000;3;jeudi;2;février;2000
04/02/2000;4;vendredi;2;février;2000
05/02/2000;5;samedi;2;février;2000
06/02/2000;6;dimanche;2;février;2000
07/02/2000;7;lundi;2;février;2000
08/02/2000;8;mardi;2;février;2000
09/02/2000;9;mercredi;2;février;2000
10/02/2000;10;jeudi;2;février;2000
11/02/2000;11;vendredi;2;février;2000
12/02/2000;12;samedi;2;février;2000
13/02/2000;13;dimanche;2;février;2000
14/02/2000;14;lundi;2;février;2000
15/02/2000;15;mardi;2;février;2000
16/02/2000;16;mercredi;2;février;2000
17/02/2000;17;jeudi;2;février;2000
18/02/2000;18;vendredi;2;février;2000
19/02/2000;19;samedi;2;février;2000
20/02/2000;20;dimanche;2;février;2000
21/02/2000;21;lundi;2;février;2000
22/02/2000;22;mardi;2;février;2000
23/02/2000;23;mercredi;2;février;2000
24/02/2000;24;jeudi;2;février;2000
25/02/2000;25;vendredi;2;février;2000
26/02/2000;26;samedi;2;février;2000
27/02/2000;27;dimanche;2;février;2000
28/02/2000;28;lundi;2;février;2000
29/02/2000;29;mardi;2;février;2000
01/03/2000;1;mercredi;3;mars;2000
02/03/2000;2;jeudi;3;mars;2000
03/03/2000;3;vendredi;3;mars;2000
04/03/2000;4;samedi;3;mars;2000
05/03/2000;5;dimanche;3;mars;2000
06/03/2000;6;lundi;3;mars;2000
07/03/2000;7;mardi;3;mars;2000
08/03/2000;8;mercredi;3;mars;2000
09/03/2000;9;jeudi;3;mars;2000
10/03/2000;10;vendredi;3;mars;2000
11/03/2000;11;samedi;3;mars;2000
12/03/2000;12;dimanche;3;mars;2000
13/03/2000;13;lundi;3;mars;2000
14/03/2000;14;mardi;3;mars;2000
15/03/2000;15;mercredi;3;mars;2000
16/03/2000;16;jeudi;3;mars;2000
17/03/2000;17;vendredi;3;mars;2000
18/03/2000;18;samedi;3;mars;2000
19/03/2000;19;dimanche;3;mars;2000
20/03/2000;20;lundi;3;mars;2000
21/03/2000;21;mardi;3;mars;2000
22/03/2000;22;mercredi;3;mars;2000
23/03/2000;23;jeudi;3;mars;2000
24/03/2000;24;vendredi;3;mars;2000
25/03/2000;25;samedi;3;mars;2000
26/03/2000;26;dimanche;3;mars;2000
27/03/2000;27;lundi;3;mars;2000
28/03/2000;28;mardi;3;mars;2000
29/03/2000;29;mercredi;3;mars;2000
30/03/2000;30;jeudi;3;mars;2000
31/03/2000;31;vendredi;3;mars;2000
01/04/2000;1;samedi;4;avril;2000
02/04/2000;2;dimanche;4;avril;2000
03/04/2000;3;lundi;4;avril;2000
04/04/2000;4;mardi;4;avril;2000
05/04/2000;5;mercredi;4;avril;2000
06/04/2000;6;jeudi;4;avril;2000
07/04/2000;7;vendredi;4;avril;2000
08/04/2000;8;samedi;4;avril;2000
09/04/2000;9;dimanche;4;avril;2000
10/04/2000;10;lundi;4;avril;2000
11/04/2000;11;mardi;4;avril;2000
12/04/2000;12;mercredi;4;avril;2000
13/04/2000;13;jeudi;4;avril;2000
14/04/2000;14;vendredi;4;avril;2000
15/04/2000;15;samedi;4;avril;2000
16/04/2000;16;dimanche;4;avril;2000
17/04/2000;17;lundi;4;avril;2000
18/04/2000;18;mardi;4;avril;2000
19/04/2000;19;mercredi;4;avril;2000
20/04/2000;20;jeudi;4;avril;2000
21/04/2000;21;vendredi;4;avril;2000
22/04/2000;22;samedi;4;avril;2000
23/04/2000;23;dimanche;4;avril;2000
24/04/2000;24;lundi;4;avril;2000
25/04/2000;25;mardi;4;avril;2000
26/04/2000;26;mercredi;4;avril;2000
27/04/2000;27;jeudi;4;avril;2000
28/04/2000;28;vendredi;4;avril;2000
29/04/2000;29;samedi;4;avril;2000
30/04/2000;30;dimanche;4;avril;2000
01/05/2000;1;lundi;5;mai;2000
02/05/2000;2;mardi;5;mai;2000
03/05/2000;3;mercredi;5;mai;2000
04/05/2000;4;jeudi;5;mai;2000
05/05/2000;5;vendredi;5;mai;2000
06/05/2000;6;samedi;5;mai;2000
07/05/2000;7;dimanche;5;mai;2000
08/05/2000;8;lundi;5;mai;2000
09/05/2000;9;mardi;5;mai;2000
10/05/2000;10;mercredi;5;mai;2000
11/05/2000;11;jeudi;5;mai;2000
12/05/2000;12;vendredi;5;mai;2000
13/05/2000;13;samedi;5;mai;2000
14/05/2000;14;dimanche;5;mai;2000
15/05/2000;15;lundi;5;mai;2000
16/05/2000;16;mardi;5;mai;2000
17/05/2000;17;mercredi;5;mai;2000
18/05/2000;18;jeudi;5;mai;2000
19/05/2000;19;vendredi;5;mai;2000
20/05/2000;20;samedi;5;mai;2000
21/05/2000;21;dimanche;5;mai;2000
22/05/2000;22;lundi;5;mai;2000
23/05/2000;23;mardi;5;mai;2000
24/05/2000;24;mercredi;5;mai;2000
25/05/2000;25;jeudi;5;mai;2000
26/05/2000;26;vendredi;5;mai;2000
27/05/2000;27;samedi;5;mai;2000
28/05/2000;28;dimanche;5;mai;2000
29/05/2000;29;lundi;5;mai;2000
30/05/2000;30;mardi;5;mai;2000
31/05/2000;31;mercredi;5;mai;2000
01/06/2000;1;jeudi;6;juin;2000
02/06/2000;2;vendredi;6;juin;2000
03/06/2000;3;samedi;6;juin;2000
04/06/2000;4;dimanche;6;juin;2000
05/06/2000;5;lundi;6;juin;2000
06/06/2000;6;mardi;6;juin;2000
07/06/2000;7;mercredi;6;juin;2000
08/06/2000;8;jeudi;6;juin;2000
09/06/2000;9;vendredi;6;juin;2000
10/06/2000;10;samedi;6;juin;2000
11/06/2000;11;dimanche;6;juin;2000
12/06/2000;12;lundi;6;juin;2000
13/06/2000;13;mardi;6;juin;2000
14/06/2000;14;mercredi;6;juin;2000
15/06/2000;15;jeudi;6;juin;2000
16/06/2000;16;vendredi;6;juin;2000
17/06/2000;17;samedi;6;juin;2000
18/06/2000;18;dimanche;6;juin;2000
19/06/2000;19;lundi;6;juin;2000
20/06/2000;20;mardi;6;juin;2000
21/06/2000;21;mercredi;6;juin;2000
22/06/2000;22;jeudi;6;juin;2000
23/06/2000;23;vendredi;6;juin;2000
24/06/2000;24;samedi;6;juin;2000
25/06/2000;25;dimanche;6;juin;2000
26/06/2000;26;lundi;6;juin;2000
27/06/2000;27;mardi;6;juin;2000
